V1,V2,V3,V4,V5,scenario
Down pmt,Loan Amount,Period (yrs),Int,PMT (mthly),Details
 5000.000,68200.000,    5.000,    0.045, 1271.454,A
 5000.000,68200.000,    6.000,    0.045, 1082.609,B
10000.000,63200.000,    5.000,    0.045, 1178.239,C
10000.000,63200.000,    6.000,    0.045, 1003.239,D
18200.000,55000.000,    5.000,    0.045, 1025.366,E
18200.0000,55000.0000,    6.0000,    0.0450,  873.0716,F
23200.0000,50000.0000,    6.0000,    0.0400,  782.2592,G
23200.0000,50000.0000,    6.0000,    0.0450,  793.7015,H
25000.0000,48200.0000,    5.0000,    0.0450,  898.5935,I
25000.0000,48200.0000,    6.0000,    0.0450,  765.1282,J
